"photo_id","year","county","point_x","point_y"
"ARO-3-40",1938,"Wayne",325069.31,4773886.34
"ARO-3-42",1938,"Wayne",324707.60,4770784.87
"ARO-3-44",1938,"Wayne",324643.01,4767869.42
"ARO-3-46",1938,"Wayne",324927.21,4764946.21
"ARO-3-48",1938,"Wayne",321025.96,4764932.16
"ARO-3-50",1938,"Wayne",321223.34,4767924.01
"ARO-3-52",1938,"Wayne",321335.57,4770889.79
"ARO-3-54",1938,"Wayne",321351.60,4773903.66
"ARO-3-56",1938,"Wayne",321319.54,4776808.51
"ARO-3-58",1938,"Wayne",321509.92,4779715.03
"ARO-3-60",1938,"Wayne",321794.45,4782877.05
"ARO-3-62",1938,"Wayne",321731.22,4785828.29
"ARO-3-65",1938,"Wayne",318948.88,4786208.82
"ARO-3-67",1938,"Wayne",318711.17,4783321.01
"ARO-3-69",1938,"Wayne",318463.12,4780573.76
"ARO-3-71",1938,"Wayne",318429.03,4777673.22
"ARO-3-73",1938,"Wayne",318412.03,4774835.41
"ARO-3-75",1938,"Wayne",318123.07,4772035.00
"ARO-3-77",1938,"Wayne",317953.10,4769224.39
"ARO-3-79",1938,"Wayne",317817.12,4766396.78
"ARO-3-80",1938,"Wayne",317749.13,4764840.58
"ARO-3-83",1938,"Wayne",315167.98,4766465.43
"ARO-3-85",1938,"Wayne",315217.96,4769469.63
"ARO-3-87",1938,"Wayne",315380.37,4772331.42
"ARO-3-89",1938,"Wayne",315205.46,4775470.55
"ARO-3-91",1938,"Wayne",315435.94,4778260.36
"ARO-3-93",1938,"Wayne",315546.04,4781358.48
"ARO-3-95",1938,"Wayne",315836.19,4784329.29
"ARO-3-97",1938,"Wayne",315995.77,4786821.36
"ARO-3-99",1938,"Wayne",316169.85,4789699.32
"ARO-3-100",1938,"Wayne",316126.33,4791152.67
"ARO-3-102",1938,"Wayne",316126.33,4794303.37
"ARO-4-4",1938,"Wayne",342435.62,4763482.07
"ARO-4-6",1938,"Wayne",342421.42,4766465.37
"ARO-4-8",1938,"Wayne",342457.16,4769364.52
"ARO-4-10",1938,"Wayne",342979.64,4772411.55
"ARO-4-12",1938,"Wayne",342736.91,4775254.91
"ARO-4-14",1938,"Wayne",342736.91,4778164.00
"ARO-4-16",1938,"Wayne",342725.36,4780948.27
"ARO-4-18",1938,"Wayne",342991.20,4783917.46
"ARO-4-20",1938,"Wayne",340814.79,4786001.57
"ARO-4-22",1938,"Wayne",340704.56,4782868.03
"ARO-4-24",1938,"Wayne",340441.66,4779997.61
"ARO-4-26",1938,"Wayne",340205.04,4776819.59
"ARO-4-28",1938,"Wayne",340283.92,4773867.67
"ARO-4-30",1938,"Wayne",339780.50,4771252.04
"ARO-4-32",1938,"Wayne",339704.81,4768386.43
"ARO-4-34",1938,"Wayne",339931.90,4765389.62
"ARO-4-36",1938,"Wayne",340070.67,4762508.88
"ARO-4-42",1938,"Wayne",336222.79,4762446.55
"ARO-4-44",1938,"Wayne",336248.02,4765379.26
"ARO-4-46",1938,"Wayne",336676.97,4768335.31
"ARO-4-48",1938,"Wayne",336629.44,4771248.46
"ARO-4-50",1938,"Wayne",337227.44,4774356.08
"ARO-4-52",1938,"Wayne",337373.27,4777880.01
"ARO-4-54",1938,"Wayne",337696.00,4780817.97
"ARO-4-56",1938,"Wayne",338012.67,4783966.12
"ARO-4-65",1938,"Wayne",333379.51,4764105.05
"ARO-4-67",1938,"Wayne",333341.83,4767631.54
"ARO-4-69",1938,"Wayne",334075.05,4770706.65
"ARO-4-72",1938,"Wayne",309260.27,4779955.50
"ARO-4-74",1938,"Wayne",310031.11,4782999.25
"ARO-4-76",1938,"Wayne",310186.09,4786139.05
"ARO-4-78",1938,"Wayne",333796.49,4772491.42
"ARO-4-80",1938,"Wayne",334792.13,4775343.75
"ARO-4-82",1938,"Wayne",334810.47,4778302.32
"ARO-4-84",1938,"Wayne",334741.12,4781343.18
"ARO-4-87",1938,"Wayne",348942.73,4764118.06
"ARO-4-89",1938,"Wayne",348895.18,4767104.17
"ARO-4-91",1938,"Wayne",349307.27,4769944.47
"ARO-5-4",1938,"Wayne",355581.40,4763507.82
"ARO- 5-6",1938,"Wayne",355345.47,4766740.78
"ARO-5-8",1938,"Wayne",355153.78,4769764.36
"ARO-5-10",1938,"Wayne",355640.10,4772944.25
"ARO-5-12",1938,"Wayne",355717.16,4775754.54
"ARO-5-14",1938,"Wayne",355931.34,4778572.79
"ARO-5-16",1938,"Wayne",355802.84,4781541.30
"ARO-5-18",1938,"Wayne",352602.57,4787116.95
"ARO-5-20",1938,"Wayne",352775.94,4783988.83
"ARO-5-22",1938,"Wayne",352804.50,4780826.44
"ARO-5-24",1938,"Wayne",352761.66,4777295.68
"ARO-5-26",1938,"Wayne",352647.44,4774147.57
"ARO-5-28",1938,"Wayne",352307.87,4771093.26
"ARO-5-30",1938,"Wayne",352352.10,4768077.12
"ARO-5-32",1938,"Wayne",352632.27,4764966.62
"ARO-6-1",1938,"Wayne",306540.67,4788913.26
"ARO-6-3",1938,"Wayne",306570.87,4792120.09
"ARO-6-5",1938,"Wayne",306665.88,4794895.45
"ARO- 6-8",1938,"Wayne",358315.04,4764453.41
"ARO-6-10",1938,"Wayne",358558.79,4767569.92
"ARO-6-12",1938,"Wayne",358591.29,4770263.92
"ARO-6-14",1938,"Wayne",359160.42,4773545.89
"ARO-6-16",1938,"Wayne",359110.05,4776171.87
"ARO-6-18",1938,"Wayne",359110.05,4779217.30
"ARO-6-20",1938,"Wayne",359036.58,4782054.54
"ARO-6-22",1938,"Wayne",359130.75,4784875.37
"ARO-6-24",1938,"Wayne",359752.15,4788238.75
"ARO-6-26",1938,"Wayne",359598.84,4790969.09
"ARO-6-28",1938,"Wayne",359334.02,4793833.24
"ARO-6-30",1938,"Wayne",359459.46,4796650.00
"ARO-6-34",1938,"Wayne",349743.22,4784282.01
"ARO-6-36",1938,"Wayne",349501.01,4781417.01
"ARO-6-38",1938,"Wayne",349411.77,4778572.40
"ARO-6-40",1938,"Wayne",349577.50,4775592.67
"ARO-6-42",1938,"Wayne",349526.50,4772771.01
"ARO-6-43",1938,"Wayne",346467.59,4763023.44
"ARO-6-45",1938,"Wayne",346207.42,4766089.04
"ARO-6-47",1938,"Wayne",346181.41,4769000.90
"ARO-6-49",1938,"Wayne",346361.65,4772105.31
"ARO-6-51",1938,"Wayne",346280.06,4775037.79
"ARO-6-53",1938,"Wayne",346456.84,4777972.99
"ARO-6-55",1938,"Wayne",346443.24,4780859.24
"ARO-6-57",1938,"Wayne",346348.05,4783905.94
"ARW-1-03",1938,"Cayuga",366789.93,4719894.22
"ARW-1-05",1938,"Cayuga",366789.93,4722310.17
"ARW-1-07",1938,"Cayuga",366442.14,4725119.27
"ARW-1-09",1938,"Cayuga",366408.03,4727317.87
"ARW-1-11",1938,"Cayuga",365865.46,4730146.55
"ARW-1-13",1938,"Cayuga",365656.49,4732426.36
"ARW-1-15",1938,"Cayuga",365433.58,4735012.66
"ARW-1-17",1938,"Cayuga",365364.46,4737584.36
"ARW-1-19",1938,"Cayuga",365614.69,4740157.39
"ARW-1-21",1938,"Cayuga",366072.69,4742599.91
"ARW-1-23",1938,"Cayuga",366298.64,4745255.38
"ARW-1-25",1938,"Cayuga",366462.86,4747830.18
"ARW-1-27",1938,"Cayuga",366399.89,4750291.80
"ARW-1-30",1938,"Cayuga",368974.81,4750310.37
"ARW-1-32",1938,"Cayuga",369230.38,4747269.07
"ARW-1-34",1938,"Cayuga",369170.25,4744528.43
"ARW-1-36",1938,"Cayuga",368824.48,4741968.19
"ARW-1-49",1938,"Cayuga",370278.56,4723353.89
"ARW-1-51",1938,"Cayuga",370402.28,4720311.22
"ARW-1-53",1938,"Cayuga",369999.96,4717210.31
"ARW-1-55",1938,"Cayuga",372033.71,4719401.54
"ARW-1-57",1938,"Cayuga",372126.89,4722343.04
"ARW-1-59",1938,"Cayuga",372073.65,4725364.40
"ARW-1-61",1938,"Cayuga",372076.67,4727271.85
"ARW-1-63",1938,"Cayuga",372019.11,4730092.52
"ARW-1-65",1938,"Cayuga",372175.83,4732677.36
"ARW-1-67",1938,"Cayuga",372127.61,4735479.20
"ARW-1-69",1938,"Cayuga",372103.50,4738208.71
"ARW-1-71",1938,"Cayuga",372236.69,4740759.39
"ARW-1-73",1938,"Cayuga",372251.53,4743512.08
"ARW-1-75",1938,"Cayuga",372488.93,4746220.26
"ARW-1-77",1938,"Cayuga",372666.99,4748898.76
"ARW-1-78",1938,"Cayuga",372696.66,4750419.93
"ARW-1-80",1938,"Cayuga",372830.08,4753027.42
"ARW-1-81",1938,"Cayuga",372692.39,4754548.58
"ARW-1-83",1938,"Cayuga",372675.18,4757154.07
"ARW-1-85",1938,"Cayuga",372468.64,4760017.73
"ARW-1-86",1938,"Cayuga",373135.59,4765846.08
"ARW-1-88",1938,"Cayuga",372980.69,4768369.81
"ARW-1-89",1938,"Cayuga",369947.15,4768866.88
"ARW-1-91",1938,"Cayuga",369800.70,4766120.37
"ARW-1-93",1938,"Cayuga",369636.02,4763513.51
"ARW-1-95",1938,"Cayuga",369598.01,4760767.30
"ARW-1-97",1938,"Cayuga",369230.65,4758565.81
"ARW-1-99",1938,"Cayuga",369370.00,4755578.92
"ARW-1-101",1938,"Cayuga",369670.57,4752810.25
"ARW-1-102",1938,"Cayuga",366476.96,4752739.72
"ARW-1-104",1938,"Cayuga",366505.73,4755488.77
"ARW-1-106",1938,"Cayuga",366289.95,4758626.23
"ARW-2-13",1938,"Cayuga",376284.47,4777972.73
"ARW-2-15",1938,"Cayuga",376273.73,4775215.60
"ARW-2-17",1938,"Cayuga",376370.43,4772512.20
"ARW-2-19",1938,"Cayuga",376542.34,4769626.14
"ARW-2-21",1938,"Cayuga",376573.07,4766781.81
"ARW-2-23",1938,"Cayuga",376512.56,4764088.82
"ARW-2-25",1938,"Cayuga",376125.30,4760899.66
"ARW-2-27",1938,"Cayuga",375725.93,4758000.94
"ARW-2-29",1938,"Cayuga",375859.06,4755259.54
"ARW-2-31",1938,"Cayuga",375562.97,4752430.98
"ARW-2-33",1938,"Cayuga",375512.69,4749603.69
"ARW-2-35",1938,"Cayuga",375336.69,4746776.40
